S&P/ASX 200 Index (1 March 2019),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
ABP,Abacus Property Group FP Ordinary/Units Stapled Securities,Real Estate,"2,093,060,000",0.12,,"1,776,226,159,000",
ABC,Adelaide Brighton,Materials,"3,096,910,000",0.17,,,
APT,Afterpay Touch,Information Technology,"4,364,610,000",0.25,,Sector Breakdown,
AGL,AGL Energy Limited,Utilities,"13,910,000,000",0.78,,Consumer Discretionary,7.13
ALQ,Als Limited,Industrials,"3,835,700,000",0.22,,Consumer Staples,5.21
ALU,Altium Limited,Information Technology,"4,306,880,000",0.24,,Energy,6.35
AWC,Alumina Limited,Materials,"7,343,600,000",0.41,,Financials,30.32
AMC,Amcor Limited,Materials,"17,430,000,000",0.98,,Health Care,8.42
AMP,AMP Limited,Financials,"6,932,330,000",0.39,,Industrials,8.39
ANN,Ansell Limited,Health Care,"3,266,080,000",0.18,,Information Technology,3.5
ANZ,ANZ Banking Group Limited,Financials,"79,995,800,000",4.5,,Materials,18.27
APA,APA Group FP Units Stapled Securities,Utilities,"11,810,700,000",0.66,,Real Estate,7.25
APX,Appen Limited,Information Technology,"2,495,500,000",0.14,,Telecommunication Services,3.12
ARB,ARB Corporation,Consumer Discretionary,"1,345,680,000",0.08,,Utilities,2.05
ALG,Ardentleisuregrpltd,Consumer Discretionary,"779,522,000",0.04,,,
ALL,Aristocrat Leisure,Consumer Discretionary,"15,721,000,000",0.89,,,
ASX,ASX Limited,Financials,"13,507,100,000",0.76,,,
ALX,Atlas Arteria FP Ordinary Stapled Securities,Industrials,"4,864,840,000",0.27,,,
AZJ,Aurizon Holdings Limited,Industrials,"8,995,380,000",0.51,,,
ASL,Ausdrill Limited,Materials,"1,191,450,000",0.07,,,
AST,Ausnet Services Limited,Utilities,"6,337,370,000",0.36,,,
API,Australian Pharm,Health Care,"692,010,000",0.04,,,
AHG,Automotive Holdings,Consumer Discretionary,"762,733,000",0.04,,,
AOG,Aveo Group FP Ordinary/Units Stapled Securities,Real Estate,"1,231,160,000",0.07,,,
BOQ,Bank of Queensland,Financials,"3,620,110,000",0.2,,,
BAP,Bapcor Limited,Consumer Discretionary,"1,706,130,000",0.1,,,
BPT,Beach Energy Limited,Energy,"4,738,760,000",0.27,,,
BGA,Bega Cheese Limited,Consumer Staples,"1,014,500,000",0.06,,,
BAL,Bellamy's Australia,Consumer Staples,"923,952,000",0.05,,,
BEN,Bendigo and Adelaide,Financials,"4,806,210,000",0.27,,,
BHP,BHP Group Limited,Materials,"109,674,000,000",6.17,,,
BIN,Bingo Industries Limited,Industrials,"972,591,000",0.05,,,
BKL,Blackmores Limited,Consumer Staples,"1,612,900,000",0.09,,,
BSL,Bluescope Steel Limited,Materials,"7,180,010,000",0.4,,,
BLD,Boral Limited,Materials,"5,838,210,000",0.33,,,
BXB,Brambles Limited,Industrials,"18,739,900,000",1.06,,,
BVS,Bravura Solution Limited,Information Technology,"1,096,940,000",0.06,,,
